"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","0.0.0.0","255.255.255.255","DHCP","348","DHCP Discover - Transaction ID 0x1337965d"
"2","0.023805000","10.10.14.147","255.255.255.255","DHCP","342","DHCP Inform   - Transaction ID 0x42653119"
"3","0.025338000","10.10.14.31","224.0.0.251","MDNS","93","Standard query response 0x0000  HINFO, cache flush X86_64 LINUX"
"4","0.028373000","10.10.10.91","224.0.0.251","MDNS","196","Standard query response 0x0000  PTR, cache flush priyanka-Inspiron-3542.local AAAA, cache flush fe80::70d0:ef48:a386:aded"
"5","0.034725000","fe80::726d:ecff:fe02:a6","ff02::1","ICMPv6","86","Multicast Listener Query"
"6","0.038085000","fe80::726d:ecff:fe02:a6","ff02::1","ICMPv6","86","Multicast Listener Query"
"7","0.043216000","0.0.0.0","255.255.255.255","DHCP","360","DHCP Request  - Transaction ID 0x1337965d"
"8","0.045331000","192.168.31.1","255.255.255.255","DHCP","342","DHCP NAK      - Transaction ID 0x1337965d"
"9","0.045492000","fe80::70d0:ef48:a386:aded","ff02::fb","MDNS","216","Standard query response 0x0000  PTR, cache flush priyanka-Inspiron-3542.local AAAA, cache flush fe80::70d0:ef48:a386:aded"
"10","0.045955000","fe80::6508:d80c:c8ce:134c","ff02::c","ICMPv6","86","Multicast Listener Report"
"11","0.100771000","fe80::21e1:a200:ff2e:5b58","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"12","0.105431000","10.10.10.146","224.0.0.251","MDNS","93","Standard query response 0x0000  HINFO, cache flush X86_64 LINUX"
"13","0.122240000","fe80::7a45:c4ff:fe29:18e4","ff02::1:2","DHCPv6","115","Information-request XID: 0xeb5ea6 CID: 0004ad8c89bd752acdc3c824df9b871c4280 "
"14","0.171698000","10.10.14.1","10.10.15.255","NBNS","92","Name query NB VLSI01<20>"
"15","0.174550000","Private_10:03:a9","Broadcast","ARP","60","Who has 10.10.10.0?  Tell 10.10.10.201"
"16","0.175882000","10.10.19.200","255.255.255.255","DHCP","590","DHCP NAK      - Transaction ID 0xe7130537"
"17","0.176523000","10.10.19.200","255.255.255.255","DHCP","590","DHCP ACK      - Transaction ID 0x42653119"
"18","0.176925000","10.10.19.200","255.255.255.255","DHCP","590","DHCP NAK      - Transaction ID 0x1337965d"
"19","0.176943000","Dell_fd:b1:45","Broadcast","ARP","60","Who has 10.10.19.200?  Tell 10.10.15.95"
"20","0.176947000","Dell_fd:b1:45","Broadcast","ARP","60","Who has 10.10.19.200?  Tell 10.10.15.95"
"21","0.177726000","fe80::f68e:38ff:fe87:4196","ff02::1:ff87:4196","ICMPv6","86","Multicast Listener Report"
"22","0.178901000","fe80::225:90ff:fea4:a5ec","ff02::1:ffa4:a5ec","ICMPv6","86","Multicast Listener Report"
"23","0.179364000","IntelCor_cb:a0:20","Broadcast","ARP","60","Who has 10.10.19.200?  Tell 10.10.13.114"
"24","0.179578000","IntelCor_cb:a0:20","Broadcast","ARP","60","Who has 10.10.19.200?  Tell 10.10.13.114"
"25","0.183384000","fe80::da4b:de7f:406:9d78","ff02::fb","ICMPv6","86","Multicast Listener Report"
"26","0.195826000","10.10.10.72","255.255.255.255","DHCP","342","DHCP Inform   - Transaction ID 0x900acf74"
"27","0.197104000","10.10.19.200","255.255.255.255","DHCP","590","DHCP ACK      - Transaction ID 0x900acf74"
"28","0.211021000","Dell_fd:b2:bc","Broadcast","ARP","60","Who has 10.10.10.1?  Tell 10.10.10.72"
"29","0.232181000","fe80::726d:ecff:fe02:f1","ff02::1:ff00:0","ICMPv6","86","Multicast Listener Report"
"30","0.244980000","10.10.15.128","224.0.0.251","MDNS","115","Standard query 0x0000  ANY linux.local, ""QM"" question"
"31","0.245068000","10.10.15.128","224.0.0.251","MDNS","90","Standard query response 0x0000  HINFO, cache flush X86_64 LINUX"
"32","0.253086000","fe80::3617:ebff:fe9e:3bbe","ff02::1:ff9e:3bbe","ICMPv6","86","Multicast Listener Report"
"33","0.256850000","192.168.1.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"34","0.259145000","fe80::95ab:211f:49d7:7bc6","ff02::1:3","ICMPv6","86","Multicast Listener Report"
"35","0.266204000","192.168.1.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"36","0.275990000","192.168.0.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"37","0.285788000","192.168.0.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"38","0.293789000","fe80::726d:ecff:fe02:70","ff02::2","ICMPv6","86","Multicast Listener Report"
"39","0.297018000","192.168.1.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"40","0.305724000","192.168.1.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"41","0.315649000","192.168.0.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"42","0.324047000","192.168.0.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"43","0.334396000","fe80::726d:ecff:fe02:212","ff02::1:ff02:212","ICMPv6","86","Multicast Listener Report"
"44","0.334857000","192.168.1.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"45","0.343291000","192.168.1.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"46","0.351615000","192.168.0.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"47","0.364465000","192.168.0.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"48","0.367408000","fe80::8616:f9ff:fe55:3de3","ff02::1:ff55:3de3","ICMPv6","86","Multicast Listener Report"
"49","0.372552000","192.168.1.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"50","0.380586000","192.168.1.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"51","0.388616000","192.168.0.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"52","0.398013000","192.168.0.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"53","0.399478000","fe80::726d:ecff:fe02:1d5","ff02::1:ff02:1d5","ICMPv6","86","Multicast Listener Report"
"54","0.406456000","fe80::e91e:c918:5a64:f3c7","ff02::1:ff64:f3c7","ICMPv6","86","Multicast Listener Report"
"55","0.411426000","192.168.1.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"56","0.420426000","192.168.1.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"57","0.423299000","fe80::726d:ecff:fe02:13f","ff02::1:ff02:13f","ICMPv6","86","Multicast Listener Report"
"58","0.429363000","192.168.0.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"59","0.438317000","192.168.0.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"60","0.445791000","10.10.15.128","224.0.0.251","MDNS","109","Standard query response 0x0000  A, cache flush 10.10.15.128 AAAA, cache flush fe80::ca1f:66ff:fe05:e02a"
"61","0.448357000","192.168.1.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"62","0.457279000","192.168.1.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"63","0.466190000","192.168.0.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"64","0.466995000","fe80::726d:ecff:fe02:b5","ff02::1:ff02:b5","ICMPv6","86","Multicast Listener Report"
"65","0.475153000","192.168.0.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"66","0.484131000","192.168.1.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"67","0.485846000","fe80::1e8c:9964:3f30:ade2","ff02::1:ff30:ade2","ICMPv6","86","Multicast Listener Report"
"68","0.493081000","192.168.1.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"69","0.501998000","192.168.0.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"70","0.510927000","192.168.0.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"71","0.520219000","192.168.1.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"72","0.529157000","192.168.1.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"73","0.538091000","192.168.0.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"74","0.547036000","192.168.0.1","224.0.0.251","IGMPv2","68","Membership Query, specific for group 224.0.0.251"
"75","0.562866000","Cisco_c8:aa:cf","Spanning-tree-(for-bridges)_00","STP","60","Conf. TC + Root = 0/0/00:07:4f:12:34:c0  Cost = 38  Port = 0x800f"
"76","0.570285000","10.10.13.25","10.10.15.255","NBNS","92","Name query NB WPAD<00>"
"77","0.582378000","fe80::ca1f:66ff:fe05:e867","ff02::1:ff05:e867","ICMPv6","86","Multicast Listener Report"
"78","0.600331000","fe80::7a45:c4ff:fe28:3196","ff02::1:ff28:3196","ICMPv6","86","Multicast Listener Report"
"79","0.617052000","10:07:b6:6c:fa:83","Broadcast","ARP","60","Who has 10.10.10.1?  Tell 10.10.14.122"
"80","0.631527000","fe80::1207:b6ff:fe6c:fa83","ff02::2","ICMPv6","70","Router Solicitation from 10:07:b6:6c:fa:83"
"81","0.631771000","fe80::1207:b6ff:fe6c:fa83","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"82","0.651896000","fe80::141b:56f:c5f8:8c86","ff02::1:fff8:8c86","ICMPv6","86","Multicast Listener Report"
"83","0.702591000","74:40:bb:36:b5:d5","Broadcast","ARP","60","Who has 10.10.15.128?  Tell 10.10.14.86"
"84","0.703874000","192.168.0.1","255.255.255.255","DHCP","590","DHCP NAK      - Transaction ID 0xe7130537"
"85","0.704415000","192.168.0.1","255.255.255.255","DHCP","590","DHCP ACK      - Transaction ID 0x42653119"
"86","0.704691000","192.168.0.1","255.255.255.255","DHCP","590","DHCP NAK      - Transaction ID 0x1337965d"
"87","0.704841000","192.168.0.1","255.255.255.255","DHCP","590","DHCP ACK      - Transaction ID 0x900acf74"
"88","0.704860000","Dell_fd:b1:45","Broadcast","ARP","60","Who has 192.168.0.1?  Tell 10.10.15.95"
"89","0.704863000","Dell_fd:b1:45","Broadcast","ARP","60","Who has 192.168.0.1?  Tell 10.10.15.95"
"90","0.707088000","IntelCor_cb:a0:20","Broadcast","ARP","60","Who has 192.168.0.1?  Tell 10.10.13.114"
"91","0.707274000","IntelCor_cb:a0:20","Broadcast","ARP","60","Who has 192.168.0.1?  Tell 10.10.13.114"
"92","0.710675000","10.10.13.201","224.0.0.251","MDNS","1154","Standard query response 0x0000  TXT, cache flush PTR EPSON EPL-6200L @ linux-13._printer._tcp.local SRV, cache flush 0 0 0 linux-16.local TXT, cache flush PTR _printer._tcp.local PTR EPSON EPL-6200L @ linux-13._ipps._tcp.local SRV, cache flush 0 0 631 linux-16.local TXT, cache flush PTR _ipps._tcp.local PTR EPSON EPL-6200L @ linux-13._ipps._tcp.local PTR EPSON EPL-6200L @ linux-13._ipps._tcp.local PTR EPSON EPL-6200L @ linux-13._ipp._tcp.local SRV, cache flush 0 0 631 linux-16.local PTR _ipp._tcp.local PTR EPSON EPL-6200L @ linux-13._ipp._tcp.local PTR EPSON EPL-6200L @ linux-13._ipp._tcp.local"
"93","0.775332000","fe80::4da:4533:a493:a19","ff02::1:ff93:a19","ICMPv6","86","Multicast Listener Report"
"94","0.827924000","fe80::5008:af58:f2ec:5898","ff02::1:ffec:5898","ICMPv6","86","Multicast Listener Report"
"95","0.865183000","10:07:b6:6c:fa:83","Broadcast","ARP","60","Who has 10.10.10.1?  Tell 10.10.14.122"
"96","0.882133000","fe80::9ade:d0ff:fefe:1fe3","ff02::1:2","DHCPv6","128","Solicit XID: 0x825f3d CID: 0001000123580d5d98ded0fe1fe3 "
"97","0.892239000","fe80::a614:37ff:fe9b:bc54","ff02::1:ff9b:bc54","ICMPv6","86","Multicast Listener Report"
"98","0.931535000","fe80::a614:37ff:fe9b:bb9c","ff02::1:ff9b:bb9c","ICMPv6","86","Multicast Listener Report"
"99","0.936090000","10.10.14.1","10.10.15.255","NBNS","92","Name query NB VLSI01<20>"
"100","0.943886000","fe80::c2ee:fbff:fe56:35f8","ff02::1:ff11:18a5","ICMPv6","86","Neighbor Solicitation for fe80::1262:ebff:fe11:18a5 from c0:ee:fb:56:35:f8"
"101","0.950510000","10.10.10.91","224.0.0.251","MDNS","183","Standard query 0x0000  PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"102","0.969410000","10.10.14.155","224.0.0.251","MDNS","723","Standard query response 0x0000  PTR Brother DCP-L2540DW series._ipp._tcp.local"
"103","0.969435000","Dell_27:89:2c","Broadcast","ARP","60","Who has 169.254.32.224?  Tell 10.10.13.188"
"104","0.971008000","fe80::388b:2843:6587:4f1b","ff02::2","ICMPv6","86","Multicast Listener Report"
"105","0.979883000","fe80::4a4d:7eff:fec6:fdb4","ff02::1:ffc6:fdb4","ICMPv6","86","Multicast Listener Report"
"106","0.991088000","fe80::d0e9:b579:b461:ed56","ff02::1:ff61:ed56","ICMPv6","86","Multicast Listener Report"
"107","1.029881000","fe80::726d:ecff:fe02:109","ff02::1:ff02:109","ICMPv6","86","Multicast Listener Report"
"108","1.035711000","10.10.14.180","224.0.0.251","MDNS","954","Standard query response 0x0000  PTR HP_LaserJet_1020 @ linux._ipp._tcp.local TXT, cache flush SRV, cache flush 0 0 631 linux-19.local PTR HP_LaserJet_1020 @ linux._ipps._tcp.local TXT, cache flush SRV, cache flush 0 0 631 linux-19.local"
"109","1.044478000","10.10.15.128","224.0.0.251","MDNS","1001","Standard query response 0x0000  PTR HP_LaserJet_1020_2 @ linux._ipp._tcp.local TXT, cache flush SRV, cache flush 0 0 631 linux.local AAAA, cache flush fe80::ca1f:66ff:fe05:e02a A, cache flush 10.10.15.128 PTR HP_LaserJet_1020_2 @ linux._ipps._tcp.local TXT, cache flush SRV, cache flush 0 0 631 linux.local"
"110","1.053941000","fe80::726d:ecff:fe02:19c","ff02::1:ff02:19c","ICMPv6","86","Multicast Listener Report"
"111","1.059591000","Micro-St_1a:6d:e1","Broadcast","ARP","60","Who has 10.10.10.48?  Tell 10.10.10.125"
"112","1.064607000","10.10.13.25","255.255.255.255","DB-LSP-DISC","176","Dropbox LAN sync Discovery Protocol"
"113","1.066792000","10.10.13.25","10.10.15.255","DB-LSP-DISC","176","Dropbox LAN sync Discovery Protocol"
